"keyword","appearance_count","average_impact","total_impact"
"reuters","1","0.061749271932058036","0.061749271932058036"
"st","6","0.010259986589459464","0.06155991953675679"
"acted","1","0.06154352973680943","0.06154352973680943"
"full","2","0.03068552236072719","0.06137104472145438"
"did","2","0.030552912470219393","0.061105824940438785"
"residential","1","0.06092766718938947","0.06092766718938947"
"ms","1","0.06089659786084667","0.06089659786084667"
"sunday","1","0.06078643805813044","0.06078643805813044"
"roofs","1","0.06051000556908548","0.06051000556908548"
"conservation","1","0.06041564070619643","0.06041564070619643"
"nch","1","0.06032165291253477","0.06032165291253477"
"ashes","1","0.06017605005763471","0.06017605005763471"
"jet","1","0.06005331873893738","0.06005331873893738"
"watched","1","0.059010054799728096","0.059010054799728096"
"ism","3","0.01966689872400214","0.05900069617200643"
"individuals","1","0.05841401405632496","0.05841401405632496"
"through","1","0.058323420817032456","0.058323420817032456"
"we","4","0.014500993612455205","0.05800397444982082"
"learn","1","0.05789736798033118","0.05789736798033118"
"someone","1","0.05787985702045262","0.05787985702045262"
"rs","4","0.014414979668799786","0.057659918675199144"
"recht","1","0.05749474441455234","0.05749474441455234"
"dan","2","0.028719193360302597","0.057438386720605195"
"francisco","1","0.05723142484202981","0.05723142484202981"
"how","1","0.057192963431589305","0.057192963431589305"
"uma","1","0.0570315575071921","0.0570315575071921"
"oppose","1","0.05700033373432234","0.05700033373432234"
"note","1","0.05650226806756109","0.05650226806756109"
"j","4","0.01410466743566628","0.05641866974266512"
"natural","2","0.027813958819024265","0.05562791763804853"
"allah","1","0.055592461256310344","0.055592461256310344"
"canada","1","0.05552818129460017","0.05552818129460017"
"northern","1","0.05547301599290222","0.05547301599290222"
"start","1","0.05540877677655468","0.05540877677655468"
"ku","1","0.05527424765750766","0.05527424765750766"
"representative","1","0.0550789562985301","0.0550789562985301"
"walk","1","0.05507236556150019","0.05507236556150019"
"ba","2","0.027522794382336242","0.055045588764672485"
"af","1","0.05491659673862159","0.05491659673862159"
"aine","1","0.05480105587048456","0.05480105587048456"
"my","4","0.0136209304134051","0.0544837216536204"
"islam","1","0.05412011709995568","0.05412011709995568"
"caught","1","0.05387178645469248","0.05387178645469248"
"y","4","0.013310481691344953","0.05324192676537981"
"worse","2","0.02642150508472696","0.05284301016945392"
"over","2","0.026413333889407416","0.05282666777881483"
"nation","1","0.05281192355323583","0.05281192355323583"
"ec","1","0.05251620279159397","0.05251620279159397"
"alive","1","0.05250661075115204","0.05250661075115204"
"issues","1","0.05246421089395881","0.05246421089395881"
"allows","1","0.05243856133893132","0.05243856133893132"
"cco","1","0.05231046723201871","0.05231046723201871"
"tc","1","0.05213929736055434","0.05213929736055434"
"res","1","0.05160951288416982","0.05160951288416982"
"cc","1","0.051503796596080065","0.051503796596080065"
"many","1","0.05149472381786576","0.05149472381786576"
"ren","1","0.05133008863776922","0.05133008863776922"
"uncertainty","1","0.05128032201901078","0.05128032201901078"
"chris","1","0.05079643987119198","0.05079643987119198"
"somewhere","2","0.025323523480134707","0.050647046960269414"
"reading","1","0.05058426840696484","0.05058426840696484"
"ha","5","0.010110473623499275","0.050552368117496374"
"ro","2","0.0252360793761909","0.0504721587523818"
"says","1","0.0503367045118163","0.0503367045118163"
"philippines","1","0.05030069965869188","0.05030069965869188"
"test","1","0.0502467054175213","0.0502467054175213"
"side","1","0.05024154391139746","0.05024154391139746"
"wider","1","0.049779959954321384","0.049779959954321384"
"nk","1","0.049716734676621854","0.049716734676621854"
"thunder","3","0.01654320361558348","0.04962961084675044"
"imi","1","0.0492692594222414","0.0492692594222414"
"choking","1","0.048940946348011494","0.048940946348011494"
"cousin","1","0.04892805052388992","0.04892805052388992"
"experts","1","0.04860967956483364","0.04860967956483364"
"thousands","1","0.048430473427288234","0.048430473427288234"
"su","1","0.04822482611052692","0.04822482611052692"
"cree","2","0.024013622547499835","0.04802724509499967"
"pl","1","0.04798075434518978","0.04798075434518978"
"ire","2","0.023955801036208868","0.047911602072417736"
"religious","1","0.047879116609692574","0.047879116609692574"
"shanghai","3","0.015948308709387977","0.047844926128163934"
"yo","1","0.047689393162727356","0.047689393162727356"
"where","1","0.04765292489901185","0.04765292489901185"
"fat","1","0.04760840465314686","0.04760840465314686"
"life","1","0.0475153683219105","0.0475153683219105"
"buy","1","0.04734175989869982","0.04734175989869982"
"pittsburgh","1","0.04727671458385885","0.04727671458385885"
"fish","1","0.04705076553260109","0.04705076553260109"
"del","3","0.015675580588221136","0.04702674176466341"
"dit","1","0.04687447112519294","0.04687447112519294"
"efforts","1","0.04675942639975498","0.04675942639975498"
"ph","1","0.04674905154388398","0.04674905154388398"
"ws","4","0.011639736048527994","0.046558944194111974"
"lco","1","0.04644772503525019","0.04644772503525019"
"ray","1","0.04624551325105131","0.04624551325105131"
"twice","1","0.04624288366176188","0.04624288366176188"
"sent","2","0.023020675987936556","0.04604135197587311"
"et","1","0.04593154927715659","0.04593154927715659"
"ev","1","0.045832322677597404","0.045832322677597404"
"pale","1","0.04532356222625822","0.04532356222625822"
"el","1","0.04517851385753602","0.04517851385753602"
"latest","1","0.04475143610034138","0.04475143610034138"
"brooklyn","2","0.022305010177660733","0.04461002035532147"
"ras","1","0.04457650368567556","0.04457650368567556"
"here","2","0.022279240074567497","0.044558480149134994"
"nts","1","0.04453382006613538","0.04453382006613538"
"western","2","0.022196713485755026","0.04439342697151005"
